id,title,segment,function,sub_function,seniority_level,level_rank,decision_power,budget_authority,signing_threshold_usd,veto_power,proximity_to_power,reports_to_typical,scope,influence_note,send_priority,pitch_angle,cta
12714,Onboarding and Enablement Director,A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12715,Technical Academy Director,A3_Approver,Human Resources,Learning and Development,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Human Resources",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
12716,"Associate Director, Capability Building",B1_Champion,Human Resources,Learning and Development,Senior Manager,7,Influencer,Departmental,$25K-$250K,No,Direct Report to Decision Maker,"Director, Learning and Development",Department,Shapes requirements and the shortlist; recommends up to the budget holder.,1,Make them look good internally. Give them ammunition to forward upward.,Want the benchmark to share with your team?
12717,"Associate Director, Curriculum Design",B1_Champion,Human Resources,Learning and Development,Senior Manager,7,Influencer,Departmental,$25K-$250K,No,Direct Report to Decision Maker,"Director, Learning and Development",Department,Shapes requirements and the shortlist; recommends up to the budget holder.,1,Make them look good internally. Give them ammunition to forward upward.,Want the benchmark to share with your team?
12718,"Associate Director, Executive Development",B1_Champion,Human Resources,Learning and Development,Senior Manager,7,Influencer,Departmental,$25K-$250K,No,Direct Report to Decision Maker,"Director, Learning and Development",Department,Shapes requirements and the shortlist; recommends up to the budget holder.,1,Make them look good internally. Give them ammunition to forward upward.,Want the benchmark to share with your team?
12719,"Associate Director, Leadership Development",B1_Champion,Human Resources,Learning and Development,Senior Manager,7,Influencer,Departmental,$25K-$250K,No,Direct Report to Decision Maker,"Director, Learning and Development",Department,Shapes requirements and the shortlist; recommends up to the budget holder.,1,Make them look good internally. Give them ammunition to forward upward.,Want the benchmark to share with your team?
12720,"Associate Director, Learning Technology",B1_Champion,Human Resources,Learning and Development,Senior Manager,7,Influencer,Departmental,$25K-$250K,No,Direct Report to Decision Maker,"Director, Learning and Development",Department,Shapes requirements and the shortlist; recommends up to the budget holder.,1,Make them look good internally. Give them ammunition to forward upward.,Want the benchmark to share with your team?
12721,"Associate Director, Learning and Development",B1_Champion,Human Resources,Learning and Development,Senior Manager,7,Influencer,Departmental,$25K-$250K,No,Direct Report to Decision Maker,"Director, Learning and Development",Department,Shapes requirements and the shortlist; recommends up to the budget holder.,1,Make them look good internally. Give them ammunition to forward upward.,Want the benchmark to share with your team?
12722,"Associate Director, Onboarding and Enablement",B1_Champion,Human Resources,Learning and Development,Senior Manager,7,Influencer,Departmental,$25K-$250K,No,Direct Report to Decision Maker,"Director, Learning and Development",Department,Shapes requirements and the shortlist; recommends up to the budget holder.,1,Make them look good internally. Give them ammunition to forward upward.,Want the benchmark to share with your team?
12723,"Associate Director, Technical Academy",B1_Champion,Human Resources,Learning and Development,Senior Manager,7,Influencer,Departmental,$25K-$250K,No,Direct Report to Decision Maker,"Director, Learning and Development",Department,Shapes requirements and the shortlist; recommends up to the budget holder.,1,Make them look good internally. Give them ammunition to forward upward.,Want the benchmark to share with your team?
12724,"Senior Manager, Capability Building",B1_Champion,Human Resources,Learning and Development,Senior Manager,7,Influencer,Departmental,$25K-$250K,No,Direct Report to Decision Maker,"Director, Learning and Development",Department,Shapes requirements and the shortlist; recommends up to the budget holder.,1,Make them look good internally. Give them ammunition to forward upward.,Want the benchmark to share with your team?
12725,"Senior Manager, Curriculum Design",B1_Champion,Human Resources,Learning and Development,Senior Manager,7,Influencer,Departmental,$25K-$250K,No,Direct Report to Decision Maker,"Director, Learning and Development",Department,Shapes requirements and the shortlist; recommends up to the budget holder.,1,Make them look good internally. Give them ammunition to forward upward.,Want the benchmark to share with your team?
12726,"Senior Manager, Executive Development",B1_Champion,Human Resources,Learning and Development,Senior Manager,7,Influencer,Departmental,$25K-$250K,No,Direct Report to Decision Maker,"Director, Learning and Development",Department,Shapes requirements and the shortlist; recommends up to the budget holder.,1,Make them look good internally. Give them ammunition to forward upward.,Want the benchmark to share with your team?
12727,"Senior Manager, Leadership Development",B1_Champion,Human Resources,Learning and Development,Senior Manager,7,Influencer,Departmental,$25K-$250K,No,Direct Report to Decision Maker,"Director, Learning and Development",Department,Shapes requirements and the shortlist; recommends up to the budget holder.,1,Make them look good internally. Give them ammunition to forward upward.,Want the benchmark to share with your team?
12728,"Senior Manager, Leadership Development - APAC",B1_Champion,Human Resources,Learning and Development,Senior Manager,7,Influencer,Departmental,$25K-$250K,No,Direct Report to Decision Maker,"Director, Learning and Development",APAC,Shapes requirements and the shortlist; recommends up to the budget holder.,1,Make them look good internally. Give them ammunition to forward upward.,Want the benchmark to share with your team?
12729,"Senior Manager, Leadership Development - EMEA",B1_Champion,Human Resources,Learning and Development,Senior Manager,7,Influencer,Departmental,$25K-$250K,No,Direct Report to Decision Maker,"Director, Learning and Development",EMEA,Shapes requirements and the shortlist; recommends up to the budget holder.,1,Make them look good internally. Give them ammunition to forward upward.,Want the benchmark to share with your team?
12730,"Senior Manager, Leadership Development - Greater China",B1_Champion,Human Resources,Learning and Development,Senior Manager,7,Influencer,Departmental,$25K-$250K,No,Direct Report to Decision Maker,"Director, Learning and Development",Greater China,Shapes requirements and the shortlist; recommends up to the budget holder.,1,Make them look good internally. Give them ammunition to forward upward.,Want the benchmark to share with your team?
12731,"Senior Manager, Leadership Development - India",B1_Champion,Human Resources,Learning and Development,Senior Manager,7,Influencer,Departmental,$25K-$250K,No,Direct Report to Decision Maker,"Director, Learning and Development",India,Shapes requirements and the shortlist; recommends up to the budget holder.,1,Make them look good internally. Give them ammunition to forward upward.,Want the benchmark to share with your team?
12732,"Senior Manager, Leadership Development - Japan",B1_Champion,Human Resources,Learning and Development,Senior Manager,7,Influencer,Departmental,$25K-$250K,No,Direct Report to Decision Maker,"Director, Learning and Development",Japan,Shapes requirements and the shortlist; recommends up to the budget holder.,1,Make them look good internally. Give them ammunition to forward upward.,Want the benchmark to share with your team?
